Id,Tipo,Categoria,Item,Fecha,Monto
1,Ingreso,Obligatorio,AFC Chile,01-01-2025,102000
2,Ingreso,Obligatorio,Ahorro AFP APV-DC,01-01-2025,10200
3,Ingreso,Trabajo,Remuneración,01-01-2025,900000
4,Ingreso,Varios,Otros Ingresos,01-01-2025,204000
5,Egreso,Académico,Ingles,01-01-2025,30000
6,Egreso,Académico,Python,01-01-2025,15000
7,Egreso,Alimentos,Mercado,01-01-2025,12240
8,Egreso,Alimentos,Supermercado,01-01-2025,61200
9,Egreso,Banco,Banco Estado,01-01-2025,190000
10,Egreso,Banco,Banco Santander,01-01-2025,190000
11,Egreso,Entretenimiento,HBO+Netflix+Prime + Roku + Spotify,01-01-2025,10200
12,Egreso,Entretenimiento,Salidas / Diversión / Comedy,01-01-2025,40800
